CollectionYear,Semester,Region,Year Level,Indigenous status,SDA type,Reason description,SDA count
2021,Semester 1,Far North Queensland,Year 2,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,1
2021,Semester 1,Far North Queensland,Year 3,Indigenous,Exclusion,Physical Misconduct involving Adults involving an object,1
2021,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,8
2021,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,7
2021,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,6
2021,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,6
2021,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,8
2021,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,6
2021,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,42
2021,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Property Misconduct involving other's property,4
2021,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Refusal to participate in the program of instruction,3
2021,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,10
2021,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,2
2021,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Absences,1
2021,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,3
2021,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,2
2021,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,2
2021,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,2
2021,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,3
2021,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,1
2021,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,15
2021,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Property Misconduct involving other's property,1
2021,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Refusal to participate in the program of instruction,3
2021,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,3
2021,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,1
2021,Semester 1,Far North Queensland,Year 4,Indigenous,Exclusion,Other Serious conduct prejudicial to the good order and management of the school,1
2021,Semester 1,Far North Queensland,Year 4,Indigenous,Long Suspension,Physical Misconduct involving Adults not involving an object,1
2021,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,2
2021,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,10
2021,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,11
2021,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,12
2021,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,7
2021,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,8
2021,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,50
2021,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Property Misconduct involving other's property,4
2021,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Refusal to participate in the program of instruction,5
2021,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,18
2021,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,2
2021,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,1
2021,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,2
2021,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,4
2021,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,1
2021,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,1
2021,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,4
2021,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,10
2021,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Property Misconduct involving other's property,1
2021,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Refusal to participate in the program of instruction,5
2021,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,4
2021,Semester 1,Far North Queensland,Year 5,Indigenous,Long Suspension,Property Misconduct involving other's property,2
2021,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,11
2021,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,3
2021,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,13
2021,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,13
2021,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,12
2021,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,8
2021,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,55
2021,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Property Misconduct involving other's property,6
2021,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Property Misconduct involving own property,1
